codigo,descricao
2.02.05.02.07,(-) Restituição IPTU Imóveis Alugados (Escritório)
2.02.05.02.08,Pagamento IPTU Imóveis Próprios (Escritório)
2.02.05.03.01,Multa Veículos (Escritório)
2.02.05.03.02,Emplacamento e IPVA (Escritório)
2.02.05.03.03,Combustível/Lubrificantes (Escritório)
2.02.05.03.04,Seguro de Veículos (Escritório)
2.02.05.03.05,Manutenção de Veículos (Escritório)
2.02.05.03.06,Locação de Veículos (Escritório)
2.02.05.04.01,Internet (Escritório)
2.02.05.04.02,Telefone (Escritório)
2.02.05.04.03,Licenças de Uso de Software (Escritório)
2.02.05.04.04,Manutenção de Softwares e Hardware (Escritório)
2.02.05.04.05,Impressoras
2.02.05.04.06,Insumos de Informática
2.02.05.05.01,Assessoria Jurídica
2.02.05.05.02,Assessoria Contábil
2.02.05.05.03,Assessoria de Recrutamento e Seleção
2.02.05.05.04,Assessorias e Consultorias
2.02.05.05.05,Assessoria de Informática
2.02.05.06.01,Serviço de Vigilância/Monitoramento
2.02.05.06.02,Serviço de Limpeza
2.02.05.06.03,Serviço de Jardinagem
2.02.05.06.04,Serviço de Manutenções Gerais
2.02.05.07.01,Cartórios e Registros (Escritório)
2.02.05.07.02,Custas Judiciais (Escritório)
2.02.05.08.01,Antecipação de Distribuição de Lucros
2.02.05.09.01,Despesas Bancárias
2.02.05.09.02,Descontos Concedidos
2.02.05.09.03,Juros de Mora
2.02.05.09.05,Multas
2.02.05.09.06,Variação Monetária
2.02.05.09.07,Juros Bancários
2.02.05.09.08,IOF
2.02.05.09.99,(-) Reembolso de Despesas Financeiras
2.03.01.01,Pesquisa
2.03.01.02,Agência
2.03.02.01,Agência Mídia Digital
2.03.02.02,Veiculação Jornais e Revistas
2.03.02.03,Veículação TV
2.03.02.04,Veiculação Rádio
2.03.02.05,"Mídia Digital (Facebook, Google)"
2.03.02.06,"Mídia Exterior (Outdoor, Busdoor, Front)"
2.03.02.07,"Sinalizações (Flag Banner, Outdoor, Lonas)"
2.03.02.08,"Materiais Gráficos(Cards,Flyers,Folders,Folhetos)"
2.03.02.09,"Imagens Eletrônicas (Renders), Filmagens e Fotog."
2.03.02.10,Ações Promocionais
2.03.02.11,Ações Promocionais Imobiliária
2.03.03.01,Endomarketing
2.03.03.02,Premiações
2.03.03.03,Convenção
2.03.04.01,"Mídia Institucional (Anúncios, Blocos de Rua)"
2.03.04.02,Site institucional
2.03.04.03,Brindes institucionais
2.03.05.01,Assessoria de imprensa
2.03.05.02,Assessoria e Consultoria - Comercial/MKT
2.03.06.01.01,Alimentação e Produtos - Golf
2.03.06.01.02,"Serviços (Recepção, Promotor) - Golf"
2.03.06.01.03,Locação de Espaço - Golf
2.03.06.01.04,"Locação de Equip., Máq., Utensílios e Mob. - Golf"
2.03.06.02.01,Alimentação e Produtos - Cliente
2.03.06.02.02,"Serviços (Recepção, Promotor) - Cliente"
2.03.06.02.03,Locação de Espaço - Cliente
2.03.06.02.04,"Locação de Equip., Máq., Utensílios,Mob. - Cliente"
2.03.06.03.01,Alimentação e Produtos - Comercial
